Date,Temperature
2021-01-01,32.58656312395083
2021-01-02,19.305267919551223
2021-01-03,22.35271992355723
2021-01-04,33.14325941232331
2021-01-05,26.991543140521518
2021-01-06,19.00085297191653
2021-01-07,23.923204126108452
2021-01-08,17.748304335629996
2021-01-09,23.32978979399298
2021-01-10,25.01402209256071
2021-01-11,24.455335776657527
2021-01-12,29.083456851365646
2021-01-13,22.082737255625563
2021-01-14,24.428504988662212
2021-01-15,21.68330942182437
2021-01-16,23.273284428464127
2021-01-17,29.364899301335527
2021-01-18,18.66418849498933
2021-01-19,22.793497248946665
2021-01-20,17.57393464662443
2021-01-21,17.987901983140866
2021-01-22,31.069291396033414
2021-01-23,34.918657342709636
2021-01-24,28.94194669134185
2021-01-25,39.95963740047531
2021-01-26,12.428902546350836
2021-01-27,19.358485483063955
2021-01-28,22.762608206829515
2021-01-29,29.00848558581716
2021-01-30,28.161717521983643
2021-01-31,19.23490497959395
2021-02-01,22.969310980594503
2021-02-02,14.212405940534683
2021-02-03,10.159678775429068
2021-02-04,16.988747096611476
2021-02-05,22.1346114354129
2021-02-06,27.304635036868486
2021-02-07,25.595301732766067
2021-02-08,18.85537933828353
2021-02-09,16.302363229662312
2021-02-10,11.774719989253326
2021-02-11,13.778693716634198
2021-02-12,11.801996037619995
2021-02-13,31.02393984994316
2021-02-14,22.218028640969617
2021-02-15,19.698587465924895
2021-02-16,11.910378748862051
2021-02-17,26.121484355351257
2021-02-18,9.298695941187201
2021-02-19,18.01312938930074
2021-02-20,15.386183983382361
2021-02-21,25.361197932595044
2021-02-22,15.956464668058754
2021-02-23,12.44396200206991
2021-02-24,19.66218380945586
2021-02-25,20.814702779927874
2021-02-26,22.585857956128855
2021-02-27,19.35249647197206
2021-02-28,14.533452226772976
2021-03-01,17.31065408057544
2021-03-02,15.641632859735633
2021-03-03,22.061298299931266
2021-03-04,17.833110203629253
2021-03-05,11.543689471111998
2021-03-06,18.43625967360843
2021-03-07,19.679821271761785
2021-03-08,9.848577570390647
2021-03-09,19.22436908407365
2021-03-10,17.83956776278839
2021-03-11,20.893612202830393
2021-03-12,25.48717045844932
2021-03-13,21.282369859673096
2021-03-14,27.410664646521884
2021-03-15,12.523819711631445
2021-03-16,19.943222522318816
2021-03-17,17.93913858186169
2021-03-18,14.039194925742908
2021-03-19,15.726652120677523
2021-03-20,17.53117233232845
2021-03-21,20.31578502919884
2021-03-22,13.46626297357625
2021-03-23,21.7542298479349
2021-03-24,21.041075392986517
2021-03-25,7.871975264165028
2021-03-26,28.691723871032373
2021-03-27,26.27533056893942
2021-03-28,23.685131176941354
2021-03-29,19.204705979460197
2021-03-30,13.16711089966466
2021-03-31,28.358287825469155
2021-04-01,15.398401445687202
2021-04-02,26.6463270906105
2021-04-03,20.962809253929308
2021-04-04,22.547008186936168
2021-04-05,22.828385306935516
2021-04-06,23.189773178515242
2021-04-07,21.59608120603144
2021-04-08,30.576360777456642
2021-04-09,24.96103236207948
2021-04-10,24.68300271609629
